,winery,description,points,price
76,Montes,"Solid and sturdy, and more big than small, this Syrah runs toward the red-fruit spectrum. But the nose offers dried fruit, herbs and clove, while there's more clove and fennel underneath the fruit on the palate. There's oak throughout, especially on the finish, but it's not overdone. And if many Syrah-based wines need time to settle, this one seems made for immediate drinking.",87,20.0
77,Concha y Toro,"This Merlot excels beyond its bargain classification by showing purity and a high level of fruit quality. The bouquet exudes plum, chocolate and some creaminess, while the palate bursts with blackberry, bitter chocolate and espresso. Round and satisfying, with enough structure to last a year or two—or until the next vintage comes around.",87,7.0
78,Undurraga,"Dusty earth, seashell notes and tomato aromas don't fully announce how snappy, tart and racy this coastal PN is. Almost sour red-plum and pie-cherry flavors finish angular, sharp and zesty to an extreme.",86,17.0
79,Concha y Toro,"Aromas of herbal red fruits, tobacco and vanilla are basic and modest. This has a wiry, acidic mouthfeel and flavors of mixed herbs, tomato, pie cherry, red plum and olive. A fresh, racy finish is tangy and tomatoey.",86,11.0
80,Montes,"Forced, candied aromas of chocolaty oak and herbal, slightly weedy berry fruits feed into a chunky, blocky, creamy palate with saucy berry flavors combined with minty, top-heavy oak. The finish tastes minty, lactic and oaky, with heat.",84,13.0
81,Maryhill,"Pear and spice aromas lead to rich pineapple and prickly pear flavors. There's much to love, with unmistakable varietal expression.",87,14.0
82,Georges Duboeuf,"This is a romantic conjunction of names. The cru wine is silky and smooth, with integrated tannins and red-cherry fruit. It is bright and crisply textured, ready to drink from mid-2017.",88,22.0
83,Georges Duboeuf,"This cru wine comes from a 44-acre vineyard with 50-year-old vines supplied by one of Duboeuf's regular growers. It is structured and dense, perhaps too dense with its heavy dry tannins. The wine will need time. Drink from 2019.",88,20.0
84,Georges Duboeuf,"Full of crisp fruit, this cru wine is bright with red-berry flavors. It is light and with a cool character that comes from the high altitude of the vineyards. There is an edgy texture that keeps the wine together. Drink now.",88,20.0
85,Georges Duboeuf,"A floral wine, full of ripe black-cherry fruit and with a firm structure that sustains the wine. This cru wine is rich, still developing, still with enough tannins and acidity to allow it to age further. Drink this attractive wine from mid-2017.",88,20.0
86,V. Sattui,"The winery pulled out all the stops on this Cabernet-based Bordeaux blend, yet the wine is so tannic and sharp now. Shows massively extracted black currant and oak flavors that run deep and long in the finish. Who knows what this wine might do in 10–15 years, but it's a roll of the dice.",91,75.0
87,Wines & Winemakers,"Yellow fruits and apple juice combine in this fresh, mineral-driven wine. It's tangy, tight with acidity while allowing room for pineapple and tropical flavors at the end. It's ready to drink but will be better in 2016.",86,12.0
88,Jean-Luc and Paul Aegerter,"From the recent appellation at the southern end of the Côte de Beaune, this is a light and very fruity wine with little discernible tannin or structure. Red cherries and fresh acidity dominate and the wine should be drunk young.",86,
89,Chateau Ste. Michelle,"This is a simple, light take on Syrah, with a little bit of black pepper, a hint of underbrush, but none of the texture and detail of pricier Washington bottles. It's a light, pleasant red, fine for pizza night.",84,13.0
90,Trapiche,"Loamy berry aromas smell a bit like wet clay and earth. This is fairly well structured, with grippy tannins. Baked, savory, oaky berry flavors finish with wood spice, clove and light herbal notes.",88,15.0
91,Chanson Père et Fils,"Big, full-bodied wine, the great tannins dominating the underlying red fruit. It's firmly concentrated, intense, a powerhouse of dense texture and obviously a wine that will need aging. Give it 5–6 years.",94,190.0
92,Chanson Père et Fils,"Very dense wine, its tannins solid and concentrated. The structure is the leader here, with the young fruit showing through as black plum skins and crushed strawberries. This is a firmly tannic wine, needing aging.",94,205.0
93,Santa Ema,"Smoky, rubbery and sweet on the nose, with mocha and caramel shadings. The palate, however, is more tight and narrow; the feel is fresh and blazing, while the flavors are piercing and suggest red fruits like cranberry and cherry. Citric but with just enough weight to register as true Cabernet (with 18% Carmenère and 7% Cab Franc).",88,40.0
94,Bründlmayer,"No surprise that Willi Bründlmayer is one of the few in Austria to have real success with Pinot Noir. This is soft, ripe, enveloping, with bitter cherry flavors rounded at the edges with sweet tannins and refreshing acidity.",89,60.0
95,Georges Duboeuf,"This is one of several estates in this cru appellation where Georges Duboeuf makes and markets the wine. It is lightly wood aged to smooth out the ebullient fruits. Rich and with some firm tannins that will develop, it has concentration and a dense texture. Drink from 2018.",90,22.0
96,Georges Duboeuf,"This cru estate is owned by the Duboeuf family. The wine has some wood aging that adds to the rich texture while not detracting from the ripe juicy red-cherry fruit. With its tannins, the wine could age, so drink from late 2017.",90,20.0
97,Georges Duboeuf,"From the south-east facing Côte du Py, this is a powerfully structured wine. It is as full of tannins as of ripe red fruits. The wine with its dense character it likely to age well over several years. Drink from 2018.",90,20.0
98,Georges Duboeuf,"Owned by the Darroze family, the cru wine from this estate is produced by Georges Duboeuf. It is a dense wine with balancing rich black fruits. Its spicy cherry-fruit flavor and rich tannins give a wine that should age further. Drink from 2018.",90,22.0
99,Iron Horse,"First made during the Reagan-Gorbachev years, this blend of 74% Pinot Noir and 26% Chardonnay tastes of hazelnut torte and almond paste, offering richness interwoven with moderate acidity. On the lusherside of the sparkling spectrum, it offers a sweetness of peach, brown sugar and lemon meringue.",90,42.0
100,Lynmar,"This is one of Lynmar's most expensive Chardonnays, of their six 2011s. It's also one of the most forward and oakiest. Your first impression is of sweet buttered toast, sprinkled with brown sugar and drizzled with melted butterscotch. Then the tropical fruits kick in, brightened with citrusy acids. It's an impressive feat, but the wine feels overworked, and lacks the sustaining interest of Lynmar's other bottlings.",88,70.0
101,DFJ Vinhos,"An attractive salmon pink-colored wine, very fresh, with bright red currant acidity, fleshed out with some caramel, raspberry and a dash of red apple skins texture.",87,10.0
102,DFJ Vinhos,"An unexpected combination perhaps, but it works to give a fresh, flavorful wine, with soft tannins, juicy fruit and flavors of red cherries and vanilla. Not complex, and ready to drink now.",87,11.0
103,DFJ Vinhos,"Fresh green-apple aromas and some ripe, mango flavors, this is well rounded, showing some acidity, but more of open, fresh fruits. This is a wine that will be perfect to drink over the next few months.",87,
104,Chanson Père et Fils,"The green fruit flavors dominate this very fresh, crisp wine. It has acidity as much as fruitiness, giving a steely, tight character. Drink now.",84,
105,Robert Mondavi,"Aromatics of rose and mint give this wine prettiness on the nose before getting into darker, richer components on the palate. Medium in build, it retains a sizable tannin presence in its youth, complemented by dark cherry and a char on the oak.",88,60.0
106,Siduri,This California-made Oregon Pinot captures a sense of the particular terroir of Chehalem Mountains fruit. Wild strawberries are laced with peppery spice and a streak of cola. Good penetration and texture.,88,39.0
107,Santa Ema,"The spectrum of varietal aromas is here: saline, olive, forest floor, tea and red and black fruits. Weighty and round in the mouth, with good feel and full blackberry flavors supported by creamy oak and vanilla. Juicy and red enough on the finish, where a pop of acidity registers.",87,12.0
108,Chehalem,"Gamay is still fairly rare in Oregon but ripens well into a style more reminiscent of Zinfandel or Grenache than of Beaujolais. Robust and fruity, this has tart and spicy cranberry and cherry notes, with a nice acid/tannin balance that keeps the flavors moving along nicely through the finish.",89,25.0
109,Montes,"This rating is probably as much a reflection of tasting the wine too late in its evolution as anything else. At this mature state, the wine is heavy and syrupy, with stalky, almost bitter red-fruit flavors. Finishes with matchstick and grassy flavors. Wait for the 2011.",82,20.0
110,Santa Ema,"Opens with a mix of toast and dusty, herbal aromas, and with time it turns more saucy than precisely fruity. A bulky wine with a chunky mouthfeel and fleshy flavors of herbal plum. A late wave of tartness and more herbal flavors cements things into place.",84,10.0
111,Feudi di San Gregorio,"This is nicely balanced and easy in terms of its tannins and overall intensity, with enough structure to pair with game meat or succulent red meat. The bouquet is redolent of spice, black fruit and crushed granite.",88,19.0
112,Feudi di San Gregorio,"This producer has a magic touch with its white wines, and this fresh Greco di Tufo is no exception. Mineral nuances are enhanced by notes of stone fruit, honey and citrus. A dusty touch of talcum powder appears on the close.",88,20.0
113,Georges Duboeuf,"With a vineyard planted in the traditional Beaujolais style of individual bushes rather than trained on wires, this is a light, soft and fruity wine. It has attractive tannins and fresh red fruits. Drink now.",86,17.0
114,Kunde,"A simple Merlot, it's easy to drink, and will be very nice with everyday fare like burgers or tacos. It's dry and tannic, yet rich in cherries and red currants, with a smooth coating of toasty oak.",86,17.0
115,V. Sattui,"Well-made in an opulent, hearty style, this vineyard-designated Chardonnay is barrel-rich and full-bodied. Floral on the nose, and tasting of oak, crème brûlée and vanilla extract on the palate.",88,32.0
116,Testarossa,"This is the most remniscent of Chablis among Testarossa's new Chardonnays. It's a minerally, chalky wine, bone dry and with lots of acidity, which makes it racy and clean. But it also has a solid core of ripe oranges and limes. It's fine to drink now, and could even develop mushroomy bottle complexity over the next six years.",93,39.0
117,Testarossa,"Awesomely rich in black cherries, plums, licorice, mocha, cola and sweet oak flavors. Made from selected barrels of the winery's various vineyards around the state, its richness is balanced by brisk acidity and a soft scour of tannins. Drink over the next six years.",93,79.0
118,Wines & Winemakers,"This is a smooth, impressively rich wine powered by silky tannins and ripe black fruits. The palate is intensely concentrated with a big, bold structure and a solid feel. It does need some aging, so drink from 2016.",93,18.0
119,Gary Farrell,"Masses of cherries and raspberries in this single-vineyard wine, and also lots of acidity. It cuts across the palate like a squeeze of lime juice, tart and mouthwatering. Oak shows up in this equation as sweet buttered toast. Altogether, it's a complex, elegant, delicious wine that will develop bottle bouquet over the next 10 years.",93,55.0
120,Robert Mondavi,"Overtly sweet, with a white sugar edge to the citrus fruits, this is basically a dessert wine. Earns extra credit for cleanness and crisp acidity.",83,11.0
121,Wines & Winemakers,"A soft Vinho Verde, with white fruit flavors, only light acidity and some final sweetness. An attractive apéritif.",83,14.0
122,DFJ Vinhos,"Soft, sweet raspberry fruit-flavored wine. It has a line of acidity while its main character is the light, sweet aftertaste. Screwcap.",83,6.0
123,Georges Duboeuf,"Dominated by its dry tannins, this is a tight black currant and dark plum skin-flavored wine, surrounded by a firm core of tannins, a firm and dark-hued wine.",90,
124,Georges Duboeuf,"There is great structure here, with dusty tannins percolating through the rich wine. It has power, concentration and density, with cocoa and cherry flavors well integrated. Think about aging for 1–2 years.",90,
125,Trapiche,"Round, thick and pulsing, but not too hard, angular or tannic. The nose brings richness, smoke and black fruits, while the palate is juicy, focused and forward, with black-fruit flavor galore and a slight creamy character. Drying and toasty on the finish, with snappy acidity through the final drop.",90,17.0
126,Louis Latour,"A solid, dense wine, packed with tannins and with a dry core. The soft fruit has flavors of strawberry, hinting at richness to come. At this early stage, tannins and acidity are still forming. Hold for five years.",90,140.0
127,Louis Latour,"There is a voluptuous edge to this generous wine. It has rich flavors, some strawberry and plum juice. The final extreme freshness shows through the layer of firm tannins. For aging over 4–5 years.",90,95.0
128,Chanson Père et Fils,"Big, structured and solid, with powerful dense fruit, this is packed with plum juice flavors. The wine feels chunky, while the acidity keeps everything in proportion.",90,
129,Chateau Ste. Michelle,"The aromas are light with notes of herb, citrus and tropical fruit. The palate is a bit more generous, showing pleasing herb and tropical fruit notes accented by tart acidity.",88,15.0
130,Chateau Ste. Michelle,"The oak is at the fore of the aromas, with notes of vanilla, toast and spice along with cream. The flavors are full bodied with a lightly creamy feel.",88,36.0
131,Casa Santos Lima,"One of the top wines from this producer, this blend of at least 10 grape varieties comes from its estate. The wood aging has added sophistication to this already concentrated wine. With black fruits to the fore and firm tannins, it will age well. Drink from 2019.",92,26.0
132,Kunde,"Tightly tannic, this 100% varietal wine comes from the producer's family estate. It's big in blackberry fruit and oak, the tannins generous on the palate. Ripe, plush plums figure into the finish, the wine bound to appeal to fans of Zinfandel for its robust nature.",87,35.0
133,Concha y Toro,"Sawdust and campfire notes are the most prominent aromas on this oaky Carmenère. Soft tannins and racy acidity create an alert, snappy palate of plum and herbal berry flavors. A note of bitterness darkens the finish.",87,17.0
134,Concha y Toro,"Light but staunch cherry and cassis aromas are infused with herb and spice notes. This is tight in feel, with bracing tartaric acidity that results in surface-level flavors of red-berry fruits. Racy, mildly green notes are present on a snappy, hot finish.",87,17.0
135,Kunde,"This wine is lightly layered and linear, with stony green apple notes over a backdrop of toasted brioche.",87,17.0
